"Name","Realms","Set","Types","Text","Archetype","Flavortext","Power","Costs","Rarity","CardID","Elemental","Nature","Void","Mortal","Divine","Cost_Sum","Prompt","Artwork 1","Artwork 2","Artwork 3","Artwork 4","Artwork 5","Artwork 6","Artwork 7","Artwork 8","Artwork 9","Artwork 10"
"Aethergolem","Divine","2","Construct Wizard","Ascend: Construct.","Construct Ascend ","Ascend","1","D","Common","","","","","","Construct Wizard","1","","","","","","","","","","",""
"Alabaster Exarch","Divine","1","Angel","Deploy: Cleanse all Units in this Lane.","Control ","Purge the Dark. Leave behind purest light. ","4","D, D, ?, ?, ?","Rare","","","","","","Angel","5","Alabaster Exarch, historical and mythical art style, colorful, angel, judging, pearl white, serene, white pearl skin, ceramical mask","https://alpha.midjourney.com/jobs/7c7b4c53-2f2b-49df-a6bf-37f29b9e5746?index=3","https://alpha.midjourney.com/jobs/db52578b-cf61-4cc6-b730-21e3bd1752ce?index=3","","","","","","","",""
"Ascendant Faithweaver","Divine","2","Human","Ascend: Divine. When this ascends, glimpse 2.","Divine Ascend ","Ascend","1","D","Common","","","","","","Human","1","","","","","","","","","","",""
"Avenging Force","Divine","1","Angel Warrior","Conquer: Each Player buries one of their Units in the conquered Lane.","Control Aggro ","There is no mercy for the damned.","5","D, D, ?, ?, ?","Rare","","","","","","Angel Warrior","5","Avenging force, historical and mythical art style, colorful, angel, armored, warlike, red wings, calling down a beam of heavenly light from his hand","https://alpha.midjourney.com/jobs/22993c97-4c0e-4b20-b61e-0765854b1d0c?index=2","","","","","","","","",""
"Baby Lamassu","Divine","1","Angel Construct","Deploy: Gain Taunt. Crystallize: This and a friendly Crystal gain Crystalborn.","Ramp ","Though young in form, its spirit carries the weight of mystical skies and the innocence of cherished memories","2","D, D, ?","Rare","","","","","","Angel Construct","3","lamassu, cute baby, made of living stone, lion head, winged, cow like, small, historical and mythical art style, colorful, cute, adorable","https://alpha.midjourney.com/jobs/b1e88fda-7d3b-4302-b0b0-4eee0012e193?index=1","","","","","","","","",""
"Blackmarble Gargoyle","Divine","1","Construct Dragon","Deploy: Gain Taunt.","","Birthed from obsidian skies, this divine Beast hungers not for reverence, but for blood.","6","D, D, ?, ?, ?, ?","Common","","","","","","Construct Dragon","6","black marble gargoyle, snaking around a large tower, large, threatening, dragonic, stone creature, made of living stone, historical and mythical art style, colorful","https://alpha.midjourney.com/jobs/a408d92c-6e6e-4d30-93ad-e526a5c9555f?index=3","","","","","","","","",""
"Chronosand Sphinx","Divine","1","Angel Construct","Crystallize: Gain Crystalborn. Deploy: Every Player may return one of their Crystals to their Hand.","Ramp Copy ","Its gaze stretches into tomorrow, trapping foes in a slow dance of dwindling chances.","5","D, D, ?, ?, ?, ?","Uncommon","","","","","","Angel Construct","6","chronosand sphinx, leaning on a huge hourglass, blue glow, time magic, large, wise, thoughtful, sandstone creature, made of stone, historical and mythical art style, colorful","https://alpha.midjourney.com/jobs/8c6c5803-34bd-4238-bf4b-5436f269949d?index=3","","","","","","","","",""
"Crusader of the Desert Winds","Divine","2","Crusader Spirit Warrior","Deploy: Gains +1 Power for each adjacent enemy Unit of a different Realm.","","Drawing might from each new foe, his power echoes the desert's vastness.","4","D, D, ?","Uncommon","","","","","","Crusader Spirit Warrior","3","","","","","","","","","","",""
"Cryptosphinx","Divine","1","Construct","Crystallize: Gain Crystalborn.","Ramp ","To seek its counsel is to risk eternity in stone, trapped in a puzzle with no end.","4","D, D, ?","Common","","","","","","Construct","3","crypto sphinx, keeper of riddles and mysteries, purple glow, mind magic, large, wise, thoughtful, sandstone creature, made of stone, historical and mythical art style, colorful","https://alpha.midjourney.com/jobs/250e747b-c7e8-4a5b-a483-65446cd307aa?index=2","","","","","","","","",""
"Cryptroach","Divine","1","Insect Undead","Ambush: Your Opponent conquers this Lane. Unearth: Swap the positions of this and another Unit.","Unearth Aggro ","Its tunnels were once used by ancient kings and pharaohs to guard their eternal rest.","2","D, D, ?","Uncommon","","","","","","Insect Undead","3","crypt roach, insect, animal, climbing up wall, pest, skittering, ancient egyptian, undead, lapislazuli plated","https://alpha.midjourney.com/jobs/b6b028b1-6920-4dde-9694-73d589c7969e?index=1","","","","","","","","",""
