Name,Realms,Set,Types,Text,Flavortext,Power,Costs,Rarity,Prompt,Artwork 1,Artwork 2,Artwork 3,Artwork 4,Artwork 5,Artwork 6,Artwork 7,Artwork 8,Artwork 9,Artwork 10
Aethergolem,Divine,2,Construct Wizard,Ascend: Construct.,Ascend,1,D,Common,,,,,,,,,,,
Alabaster Exarch,Divine,1,Angel,Deploy: Cleanse all Units in this Lane.,Purge the Dark. Leave behind purest light. ,4,"D, D, ?, ?, ?",Rare,"Alabaster Exarch, historical and mythical art style, colorful, angel, judging, pearl white, serene, white pearl skin, ceramical mask",https://alpha.midjourney.com/jobs/7c7b4c53-2f2b-49df-a6bf-37f29b9e5746?index=3,https://alpha.midjourney.com/jobs/db52578b-cf61-4cc6-b730-21e3bd1752ce?index=3,,,,,,,,
Ascendant Faithweaver,Divine,2,Human,"Ascend: Divine. When this ascends, glimpse 2.",Ascend,1,D,Common,,,,,,,,,,,
Avenging Force,Divine,1,Angel Warrior,Conquer: Each Player buries one of their Units in the conquered Lane.,There is no mercy for the damned.,5,"D, D, ?, ?, ?",Rare,"Avenging force, historical and mythical art style, colorful, angel, armored, warlike, red wings, calling down a beam of heavenly light from his hand",https://alpha.midjourney.com/jobs/22993c97-4c0e-4b20-b61e-0765854b1d0c?index=2,,,,,,,,,
Baby Lamassu,Divine,1,Angel Construct,Deploy: Gain Taunt. Crystallize: This and a friendly Crystal gain Crystalborn.,"Though young in form, its spirit carries the weight of mystical skies and the innocence of cherished memories",2,"D, D, ?",Rare,"lamassu, cute baby, made of living stone, lion head, winged, cow like, small, historical and mythical art style, colorful, cute, adorable",https://alpha.midjourney.com/jobs/b1e88fda-7d3b-4302-b0b0-4eee0012e193?index=1,,,,,,,,,
Blackmarble Gargoyle,Divine,1,Construct Dragon,Deploy: Gain Taunt.,"Birthed from obsidian skies, this divine Beast hungers not for reverence, but for blood.",6,"D, D, ?, ?, ?, ?",Common,"black marble gargoyle, snaking around a large tower, large, threatening, dragonic, stone creature, made of living stone, historical and mythical art style, colorful",https://alpha.midjourney.com/jobs/a408d92c-6e6e-4d30-93ad-e526a5c9555f?index=3,,,,,,,,,
Chronosand Sphinx,Divine,1,Angel Construct,Crystallize: Gain Crystalborn. Deploy: Every Player may return one of their Crystals to their Hand.,"Its gaze stretches into tomorrow, trapping foes in a slow dance of dwindling chances.",5,"D, D, ?, ?, ?, ?",Uncommon,"chronosand sphinx, leaning on a huge hourglass, blue glow, time magic, large, wise, thoughtful, sandstone creature, made of stone, historical and mythical art style, colorful",https://alpha.midjourney.com/jobs/8c6c5803-34bd-4238-bf4b-5436f269949d?index=3,,,,,,,,,
Crusader of the Desert Winds,Divine,2,Crusader Spirit Warrior,Deploy: Gains +1 Power for each adjacent enemy Unit of a different Realm.,"Drawing might from each new foe, his power echoes the desert's vastness.",4,"D, D, ?",Uncommon,,,,,,,,,,,
Cryptosphinx,Divine,1,Construct,Crystallize: Gain Crystalborn.,"To seek its counsel is to risk eternity in stone, trapped in a puzzle with no end.",4,"D, D, ?",Common,"crypto sphinx, keeper of riddles and mysteries, purple glow, mind magic, large, wise, thoughtful, sandstone creature, made of stone, historical and mythical art style, colorful",https://alpha.midjourney.com/jobs/250e747b-c7e8-4a5b-a483-65446cd307aa?index=2,,,,,,,,,
Damaged Automaton,Divine,1,Construct Undead,Deploy: Gain Ward.,"Though battered and bruised, even in decay it serves a purpose.",2,D,Common,"damaged automaton, peaceful, falling apart, sitting in ancient egyptian workshop, using tools, trying to repair itself, ancient mechanical being, sandstone creature, made of stone, historical and mythical art style, colorful",https://alpha.midjourney.com/jobs/3644d9f4-a154-4538-96ea-489d6da10cda?index=2,,,,,,,,,
Diviner of Fates,Divine,1,Angel Wizard,Deploy: Gain Ward. You may move an adjacent enemy Unit.,Even the fate of gods is nothing but a game when you can see the future.,3,"D, ?, ?",Uncommon,"Diviner of fates, female, wearing temple garbs, ancient egyptian, historical and mythical art style, colorful, angel, pondering two magical orbs, mysticism, surrounded by colorful fog, in deep thought",https://alpha.midjourney.com/jobs/9b1cd3ba-f0fb-43df-a5df-aa0555f184e0?index=0,https://alpha.midjourney.com/jobs/7e6524d5-fc47-4a64-ac87-5ec5a5ddad4c?index=1,https://alpha.midjourney.com/jobs/7e6524d5-fc47-4a64-ac87-5ec5a5ddad4c?index=3,,,,,,,
Doma Angel,Divine,1,Angel Warrior,,"In her shadow, destiny is sealed.",3,"D, ?",Common,"Dream traveler, historical and mythical art style, colorful, angel, mystical, unreal, dreamlike, semi transparent, weightless",https://alpha.midjourney.com/jobs/e10bf9b3-3d4a-458c-b4e9-595c4cddd9bf?index=0,https://alpha.midjourney.com/jobs/bf2b9797-ca47-418b-8b51-f73b166d794e?index=0,,,,,,,,
Dove of Serenity,Divine,1,Animal,"Whenever a friendly Divine Unit is deployed adjacently, gain +2 Power.","Wherever it flutters, peace is sure to follow.",1,"D, ?",Common,"peace dove, historical and mythical art style, colorful, blue sky, calm",https://alpha.midjourney.com/jobs/bd138556-f391-44ec-ab68-5aa4b5a9f606?index=1,,,,,,,,,
Dream Traveler,Divine,1,Angel,Deploy: This gains Ward. Crystallize: You may return a friendly Unit to your Hand.,Bounce,2,"D, ?, ?",Uncommon,"Dream traveler, historical and mythical art style, colorful, angel, mystical, unreal, dreamlike, semi transparent, weightless",https://alpha.midjourney.com/jobs/1ae58892-c0c7-4cd2-b4f2-61e436a76acb?index=0,,,,,,,,,
