Name,Cardtype,Realms,Set,Types,Text,Flavortext,Power,Costs,Rarity,Prompt,Artwork 1,Artwork 2,Artwork 3,Artwork 4,Artwork 5,Artwork 6,Artwork 7,Artwork 8,Artwork 9,Artwork 10
Aethergolem,Unit,Divine,2,Construct Wizard,Ascend: Construct.,Ascend,1,D,Common,,,,,,,,,,,
Alabaster Exarch,Unit,Divine,1,Angel,Deploy: Cleanse all Units in this Lane.,Purge the Dark. Leave behind purest light. ,4,"D, D, ?, ?, ?",Rare,"Alabaster Exarch, historical and mythical art style, colorful, angel, judging, pearl white, serene, white pearl skin, ceramical mask",https://alpha.midjourney.com/jobs/7c7b4c53-2f2b-49df-a6bf-37f29b9e5746?index=3,https://alpha.midjourney.com/jobs/db52578b-cf61-4cc6-b730-21e3bd1752ce?index=3,,,,,,,,
Ascendant Faithweaver,Unit,Divine,2,Human,"Ascend: Divine. When this ascends, glimpse 2.",Ascend,1,D,Common,,,,,,,,,,,
Avenging Force,Unit,Divine,1,Angel Warrior,Conquer: Each Player buries one of their Units in the conquered Lane.,There is no mercy for the damned.,5,"D, D, ?, ?, ?",Rare,"Avenging force, historical and mythical art style, colorful, angel, armored, warlike, red wings, calling down a beam of heavenly light from his hand",https://alpha.midjourney.com/jobs/22993c97-4c0e-4b20-b61e-0765854b1d0c?index=2,https://alpha.midjourney.com/jobs/ea118e8b-a51b-4fd0-9ebb-45e0eb3a1fdd?index=3,https://alpha.midjourney.com/jobs/ab240212-1a94-480e-8587-c4b045f6cc83?index=0,https://alpha.midjourney.com/jobs/e23cb92e-67b8-407f-97b9-2fb3dffa6c7a?index=1,https://alpha.midjourney.com/jobs/21b8a66c-7151-4179-9a76-80c4f8f76d0f?index=2,,,,,
Baby Lamassu,Unit,Divine,1,Angel Construct,Deploy: Gain Taunt. Crystallize: This and a friendly Crystal gain Crystalborn.,"Though young in form, its spirit carries the weight of mystical skies and the innocence of cherished memories",2,"D, D, ?",Rare,"lamassu, cute baby, made of living stone, lion head, winged, cow like, small, historical and mythical art style, colorful, cute, adorable",https://alpha.midjourney.com/jobs/b1e88fda-7d3b-4302-b0b0-4eee0012e193?index=1,https://alpha.midjourney.com/jobs/675b4038-4ecb-4309-a56b-3f73fb074833?index=3,https://alpha.midjourney.com/jobs/1bd0a0b3-130f-4bdc-9c15-509e1e9b90fa?index=3,,,,,,,
Blackmarble Gargoyle,Unit,Divine,1,Construct Dragon,Deploy: Gain Taunt.,"Birthed from obsidian skies, this divine Beast hungers not for reverence, but for blood.",6,"D, D, ?, ?, ?, ?",Common,"black marble gargoyle, snaking around a large tower, large, threatening, dragonic, stone creature, made of living stone, historical and mythical art style, colorful",https://alpha.midjourney.com/jobs/a408d92c-6e6e-4d30-93ad-e526a5c9555f?index=3,https://alpha.midjourney.com/jobs/d68f1443-8bb6-4d68-94e0-2abd9c741c16?index=3,https://alpha.midjourney.com/jobs/e1a293f6-3472-446e-b70e-7002f09b3c7c?index=3,,,,,,,
Chronosand Sphinx,Unit,Divine,1,Angel Construct,Crystallize: Gain Crystalborn. Deploy: Every Player may return one of their Crystals to their Hand.,"Its gaze stretches into tomorrow, trapping foes in a slow dance of dwindling chances.",5,"D, D, ?, ?, ?, ?",Uncommon,"chronosand sphinx, leaning on a huge hourglass, blue glow, time magic, large, wise, thoughtful, sandstone creature, made of stone, historical and mythical art style, colorful",https://alpha.midjourney.com/jobs/8c6c5803-34bd-4238-bf4b-5436f269949d?index=3,https://alpha.midjourney.com/jobs/8cd82af3-98af-4579-a391-4f7b38a030da?index=2,https://alpha.midjourney.com/jobs/95b04bf6-cd9b-4053-92a1-5231ba065df7?index=0,,,,,,,
Crusader of the Desert Winds,Unit,Divine,2,Crusader Spirit Warrior,Deploy: Gains +1 Power for each adjacent enemy Unit of a different Realm.,"Drawing might from each new foe, his power echoes the desert's vastness.",4,"D, D, ?",Uncommon,,,,,,,,,,,
Cryptosphinx,Unit,Divine,1,Construct,Crystallize: Gain Crystalborn.,"To seek its counsel is to risk eternity in stone, trapped in a puzzle with no end.",4,"D, D, ?",Common,"crypto sphinx, keeper of riddles and mysteries, purple glow, mind magic, large, wise, thoughtful, sandstone creature, made of stone, historical and mythical art style, colorful",https://alpha.midjourney.com/jobs/250e747b-c7e8-4a5b-a483-65446cd307aa?index=2,https://alpha.midjourney.com/jobs/95b04bf6-cd9b-4053-92a1-5231ba065df7?index=2,https://alpha.midjourney.com/jobs/526cec67-13c3-48b9-b1a9-097b1eb420d3?index=2,,,,,,,
Damaged Automaton,Unit,Divine,1,Construct Undead,Deploy: Gain Ward.,"Though battered and bruised, even in decay it serves a purpose.",2,D,Common,"damaged automaton, peaceful, falling apart, sitting in ancient egyptian workshop, using tools, trying to repair itself, ancient mechanical being, sandstone creature, made of stone, historical and mythical art style, colorful",https://alpha.midjourney.com/jobs/3644d9f4-a154-4538-96ea-489d6da10cda?index=2,https://alpha.midjourney.com/jobs/3b251807-e5b8-4b8d-9143-bc8abc033018?index=0,https://alpha.midjourney.com/jobs/3b251807-e5b8-4b8d-9143-bc8abc033018?index=1,,,,,,,
